station,Date,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax,Next_Tmin
1,2013-06-30,28.7,21.4,58.25568771,91.11636353,28.07410146,23.00693617,6.818886966,69.45180527,0.233947471,0.20389571,0.161696854,0.130928198,0,0,0,0,37.6046,126.991,212.335,2.785,5992.895996,29.1,21.2
2,2013-06-30,31.9,21.6,52.26339722,90.60472107,29.85068856,24.03500932,5.691889932,51.93744783,0.225508198,0.251771373,0.159444059,0.127727264,0,0,0,0,37.6046,127.032,44.7624,0.5141,5869.3125,30.5,22.5
3,2013-06-30,31.6,23.3,48.69047928,83.97358704,30.09129171,24.56563342,6.138223678,20.57304966,0.209343664,0.257469446,0.204091465,0.14212525,0,0,0,0,37.5776,127.058,33.3068,0.2661,5863.555664,31.1,23.9
4,2013-06-30,32,23.4,58.23978806,96.48368835,29.7046289,23.32617729,5.650050263,65.72714393,0.216372027,0.226002422,0.16115741,0.134248676,0,0,0,0,37.645,127.022,45.716,2.5348,5856.964844,31.7,24.3
5,2013-06-30,31.4,21.9,56.17409515,90.15512848,29.11393432,23.48647993,5.735004306,107.9655353,0.151406899,0.249995278,0.178892475,0.170020995,0,0,0,0,37.5507,127.135,35.038,0.5055,5859.552246,31.2,22.5
6,2013-06-30,31.9,23.5,52.43712616,85.30725098,29.21934227,23.8226129,6.182295263,50.23138913,0.185278777,0.280817986,0.232840977,0.146362898,0,0,0,0,37.5102,127.042,54.6384,0.1457,5873.780762,31.5,24
7,2013-06-30,31.4,24.4,56.28718948,81.01976013,28.55185865,24.23846712,5.587134739,125.110007,0.389600243,0.333569981,0.270418989,0.145705371,0,0,0,0,37.5776,126.838,12.37,0.0985,5849.233398,30.9,23.4
8,2013-06-30,32.1,23.6,52.32621765,78.00453949,28.85198158,23.81905389,6.104417304,42.01154665,0.357856423,0.344928144,0.272387332,0.143840614,0,0,0,0,37.4697,126.91,52.518,1.5629,5863.992188,31.1,22.9
9,2013-06-30,31.4,22,55.33879089,80.78460693,28.4269752,23.33237339,6.017135074,85.11097145,0.408765723,0.344800274,0.26497959,0.148911073,0,0,0,0,37.4967,126.826,50.9312,0.4125,5876.901367,31.3,21.6
10,2013-06-30,31.6,20.5,56.65120316,86.84963226,27.57670489,22.52701832,6.518841068,63.00607544,0.348292483,0.306254824,0.245254185,0.135443459,0,0,0,0,37.4562,126.955,208.507,5.1782,5893.608398,30.5,21
11,2013-06-30,31.7,23.5,51.15639496,85.38563538,29.69472429,24.43264603,6.411812464,55.69031231,0.175333607,0.281865702,0.211470522,0.162906996,0,0,0,0,37.5372,127.085,28.7,0.6233,5864.000977,31.2,24.5
12,2013-06-30,31.6,22.2,51.28834915,80.3380127,28.93631368,24.36594852,6.423992604,28.71928795,0.251017448,0.25629401,0.182101953,0.131399843,0,0,0,0,37.5507,126.988,132.118,0.5931,5924.328613,32.6,22.2
13,2013-06-30,32.1,23.8,48.76792908,84.00816345,29.92927163,24.2817497,5.988360584,32.03944751,0.183449507,0.271462449,0.22561654,0.166153553,0,0,0,0,37.5776,127.083,59.8324,2.6865,5861.027344,31.4,24.3
14,2013-06-30,31.3,23.8,50.74573517,74.49880981,29.49852619,24.45942658,6.319477777,16.83561063,0.357665275,0.323948845,0.241907531,0.150746298,0,0,0,0,37.4967,126.927,30.968,0.618,5857.949707,31.7,22.9
15,2013-06-30,32.5,23.6,51.77339172,72.99923706,29.6401032,25.15290854,6.360547493,32.27512177,0.301712876,0.302602134,0.191007179,0.145542468,0,0,0,0,37.5507,126.937,30.0464,0.8552,5866.655762,30.8,22.8
16,2013-06-30,30.7,21.4,56.84833908,84.40817261,28.47651747,23.69515104,5.639549484,83.417605,0.277754578,0.287272772,0.246364056,0.134321159,0,0,0,0,37.4697,126.995,82.2912,2.2579,5861.383301,30.8,20.9
17,2013-06-30,32.1,20.1,54.35250092,93.21831512,29.32152511,23.03616269,5.497786959,97.97143806,0.151997618,0.2361992,0.195431031,0.149973047,0,0,0,0,37.6181,127.099,53.4712,0.697,5872.376465,31.5,21.1
18,2013-06-30,32.8,23.8,56.14470673,88.36473084,28.67617461,23.44816492,5.665434659,81.93827105,0.190920499,0.293773562,0.264063894,0.138920351,0,0,0,0,37.4832,127.024,56.4448,1.2313,5864.952637,33.1,23.9
19,2013-06-30,31.4,22.8,52.26592636,75.48375702,29.27366832,24.97015091,6.359285822,36.33996852,0.276464701,0.295129102,0.1885057,0.140354342,0,0,0,0,37.5776,126.938,75.0924,1.7678,5893.578125,31.8,21.6
20,2013-06-30,30.9,22.2,61.49383545,95.24523163,28.50298868,23.03153859,6.814791689,70.16693582,0.199887615,0.190157051,0.138435317,0.123160086,0,0,0,0,37.6181,127.004,146.554,4.7296,5932.124023,30.8,23
21,2013-06-30,32,23.6,49.57604599,81.60166931,29.97619602,24.83710706,6.413321187,14.79612086,0.200845365,0.253855393,0.207180081,0.148090805,0,0,0,0,37.5507,127.04,26.298,0.5721,5859.321777,30.6,24
22,2013-06-30,32.2,23.9,54.51245499,88.52469635,29.18887005,23.80135221,6.020389636,88.0782094,0.179405619,0.268662387,0.223249274,0.164154806,0,0,0,0,37.5102,127.086,21.9668,0.1332,5852.904297,32.6,23.7
23,2013-06-30,32.7,24.4,54.70558548,75.91982269,28.85798067,24.73371051,6.01961568,90.83848906,0.346090207,0.350199357,0.225512718,0.148332835,0,0,0,0,37.5372,126.891,15.5876,0.1554,5851.387695,31.8,23.2
